,Timestamp,SourceIP,SourcePort,DPort,Status
0,3196804,77.72.85.18,42277,36976,BLOCK
1,3196807,195.181.168.161,56025,443,AUDIT
2,3196823,83.209.247.254,36186,23,BLOCK
3,3196828,222.186.138.144,6299,1433,BLOCK
4,3196865,212.237.8.88,44928,22,AUDIT
5,3196881,77.72.85.18,42277,27303,BLOCK
6,3196904,162.243.146.11,39384,119,BLOCK
7,3196905,77.72.85.18,42277,34873,BLOCK
8,3196910,181.214.87.239,49347,888,BLOCK
9,3196957,51.15.93.50,21059,5060,BLOCK
10,3196963,200.56.202.19,59891,445,AUDIT
11,3196997,77.72.85.18,42277,57867,BLOCK
12,3197001,200.119.113.183,42012,1433,BLOCK
13,3197024,104.243.41.164,15653,123,BLOCK
14,3197035,77.72.85.18,42277,7842,BLOCK
15,3197043,5.188.86.56,58771,3390,BLOCK
16,3197090,103.100.210.237,56845,3306,BLOCK
17,3197172,77.72.85.18,42277,59583,BLOCK
18,3197189,185.222.211.85,43994,3416,BLOCK
19,3197204,77.72.85.18,42277,39515,BLOCK
20,3197207,119.1.218.160,28914,23,BLOCK
21,3197239,77.72.85.18,42277,29133,BLOCK
22,3197241,91.121.83.195,41237,22,AUDIT
23,3197254,162.244.80.193,50074,69,BLOCK
24,3197282,36.110.71.146,51678,1433,BLOCK
25,3197298,77.72.82.135,47002,4666,BLOCK
26,3197440,77.72.85.18,42277,36191,BLOCK
27,3197458,104.243.41.99,15653,1900,BLOCK
28,3197559,77.72.85.18,42277,22266,BLOCK
29,3197584,159.89.88.95,50450,443,AUDIT
30,3197584,159.89.88.95,50456,443,AUDIT
31,3197678,77.72.85.18,42277,20975,BLOCK
32,3197755,121.18.238.39,59284,22,AUDIT
33,3197760,121.18.238.39,50792,22,AUDIT
34,3197765,95.216.3.177,16586,52869,BLOCK
35,3197794,77.72.85.18,42277,38805,BLOCK
36,3197807,77.72.82.22,52866,1235,BLOCK
37,3197883,77.72.85.18,42277,38777,BLOCK
38,3197913,185.35.62.227,60643,47808,BLOCK
39,3197927,184.105.247.232,58565,7547,BLOCK
40,3197957,198.211.117.56,0,0,ALLOW
41,3198047,77.72.85.18,42277,59243,BLOCK
42,3198084,218.61.160.21,48264,1433,BLOCK
43,3198125,189.19.164.253,59848,23,BLOCK
44,3198139,181.214.87.7,42412,3390,BLOCK
45,3198151,5.188.9.25,41696,3333,BLOCK
46,3198234,77.72.85.18,42277,53509,BLOCK
47,3198235,197.1.10.3,2241,23,BLOCK
48,3198248,77.72.85.18,42277,50944,BLOCK
49,3198261,119.249.54.217,55387,22,AUDIT
50,3198263,221.194.47.245,50865,22,AUDIT
51,3198283,109.248.9.4,47889,5565,BLOCK
52,3198312,77.72.85.18,42277,3565,BLOCK
53,3198317,115.238.245.2,33182,22,AUDIT
54,3198319,218.19.158.245,12743,22,AUDIT
55,3198319,218.19.158.245,55352,22,AUDIT
56,3198352,77.72.85.18,42277,37311,BLOCK
57,3198357,162.157.211.96,12159,22,AUDIT
58,3198367,77.72.82.22,52866,310,BLOCK
59,3198416,77.72.85.18,42277,17056,BLOCK
60,3198422,77.72.82.22,52866,111,BLOCK
